mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_pr_auc,std_pr_auc,rank_test_score
0.008402442932128907,0.0003660811378005519,0.0010449886322021484,0.0003892077091105609,0.1,,"{'C': 0.1, 'class_weight': None}",0.6408214989868944,0.7119144352174948,0.6664964850816196,0.6544712064613812,0.6626332385621432,0.6672673728619067,0.02399398160049641,1
0.012142801284790039,0.0033024636784943395,0.000816965103149414,0.0003412107101770381,1.0,,"{'C': 1, 'class_weight': None}",0.6373684264694288,0.7121508561661101,0.6665733393469835,0.6530050349789205,0.664401892741826,0.6666999099406538,0.024975872112063924,2
0.013399314880371094,0.001998131849364412,0.001122760772705078,0.0005107505704882891,3.0,,"{'C': 3, 'class_weight': None}",0.6371923449965191,0.7120421997266101,0.6671404716071141,0.6525395675427138,0.6640235047026906,0.6665876177151295,0.02503768807479255,3
0.011771202087402344,0.0018260926948279114,0.0008812427520751953,0.0004146177209970396,10.0,,"{'C': 10, 'class_weight': None}",0.6371640603084756,0.711993036969118,0.667102450293798,0.6524284123894206,0.6640952576059256,0.6665566435133476,0.025037384200594266,4
0.010884380340576172,0.0025838037954121814,0.0007256507873535156,5.3276945481287815e-05,0.3,,"{'C': 0.3, 'class_weight': None}",0.6383043159010019,0.7121009002290581,0.6663965098093821,0.6534415950345955,0.6621598487536843,0.6664806339455444,0.024754015397876902,5
0.011413955688476562,0.0005498529916210038,0.0011557579040527345,0.00037049211882826547,0.1,balanced,"{'C': 0.1, 'class_weight': 'balanced'}",0.6362344793916017,0.711764475319441,0.6612598846718398,0.6568026862861666,0.6614759693284087,0.6655074989994916,0.024926639398714073,6
0.01608128547668457,0.0021740726803223523,0.001230621337890625,0.0004339114020219777,1.0,balanced,"{'C': 1, 'class_weight': 'balanced'}",0.6332028843274273,0.7114138498445273,0.6613993826467706,0.656786870547464,0.6643870314297586,0.6654380037591896,0.025476021892032377,7
0.011328125,0.0029024572291263904,0.0008646011352539063,0.00037799713745907584,3.0,balanced,"{'C': 3, 'class_weight': 'balanced'}",0.6326750550999762,0.7112554994885318,0.6614946748213368,0.6572569600692939,0.6638011659102686,0.6652966710778814,0.025525330173113397,8
0.012664175033569336,0.0023236036818061667,0.0006378173828125,8.907287483244346e-06,10.0,balanced,"{'C': 10, 'class_weight': 'balanced'}",0.6326236318036987,0.7112495194235571,0.6614376866727169,0.6573869876855939,0.663785142629783,0.6652965936430699,0.02553010511814596,9
0.01189565658569336,0.003600643473660939,0.0008366584777832031,0.00036591513553516243,0.3,balanced,"{'C': 0.3, 'class_weight': 'balanced'}",0.6335724939845544,0.7113811332512443,0.6609913960728336,0.6561676622637668,0.6615781443561454,0.6647381659857089,0.025472899568539556,10
