model,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std,f1_mean,f1_std,recall_mean,recall_std,precision_mean,precision_std,balanced_accuracy_mean,balanced_accuracy_std,pr_auc_cv,roc_auc_cv,f1_cv,recall_cv,precision_cv,balanced_accuracy_cv
logreg,0.6666999099406538,0.027923873919958087,0.8474692090206816,0.011897472202935796,0.5975305183595829,0.02387677618662523,0.554,0.032076469139370345,0.6497648493463704,0.030219808448570182,0.7228765778401123,0.015631774980883126,0.6667 ± 0.0279,0.8475 ± 0.0119,0.5975 ± 0.0239,0.5540 ± 0.0321,0.6498 ± 0.0302,0.7229 ± 0.0156
logreg_balanced,0.6654380037591896,0.028483058373428603,0.8479662418278828,0.012997062416389853,0.6343084430039175,0.019464081224036322,0.8073214285714286,0.028067543351635138,0.5226742553484607,0.02057455458777148,0.770285564942823,0.016558931014520335,0.6654 ± 0.0285,0.8480 ± 0.0130,0.6343 ± 0.0195,0.8073 ± 0.0281,0.5227 ± 0.0206,0.7703 ± 0.0166
random_forest,0.6532881443118288,0.006018360256573421,0.8398542257545063,0.01108392386888919,0.6061725886127427,0.02140382725769286,0.6271587301587301,0.032550265047478856,0.5872815897910807,0.02243794937831233,0.7338445461089218,0.01570405831592915,0.6533 ± 0.0060,0.8399 ± 0.0111,0.6062 ± 0.0214,0.6272 ± 0.0326,0.5873 ± 0.0224,0.7338 ± 0.0157
hist_gradient_boosting,0.6261985081095529,0.012462791244451526,0.8251145595405063,0.013103275288899933,0.5554551921247569,0.026502243880035255,0.5156746031746031,0.0427747936608247,0.6045089104257204,0.02585599070167542,0.6966285332116329,0.016588995020551188,0.6262 ± 0.0125,0.8251 ± 0.0131,0.5555 ± 0.0265,0.5157 ± 0.0428,0.6045 ± 0.0259,0.6966 ± 0.0166
dummy_most_frequent,0.26532544378698225,0.0005292468585798395,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.2653 ± 0.0005,0.5000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.5000 ± 0.0000
